"filename", "language", "Python", "pip requirements", "Markdown", "Docker", "YAML", "JSON", "CSV", "Ignore", "comment", "blank", "total"
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard1\GPT5-mini\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard1\GPT5-mini\.github\workflows\ci.yml", "YAML", 0, 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard1\GPT5-mini\Dockerfile", "Docker", 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard1\GPT5-mini\README.md", "Markdown", 0, 0, 20, 0, 0, 0, 0, 0, 0, 11, 31
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard1\GPT5-mini\data\customers.json", "JSON", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard1\GPT5-mini\data\products.json", "JSON", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard1\GPT5-mini\data\sales.csv", "CSV", 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard1\GPT5-mini\docker\docker-compose.yml", "YAML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 5, 41
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard1\GPT5-mini\docs\USAGE.md", "Markdown", 0, 0, 11, 0, 0, 0, 0, 0, 0, 6, 17
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard1\GPT5-mini\requirements.txt", "pip requirements", 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
