"filename", "language", "YAML", "Markdown", "Docker", "Python", "pip requirements", "MS SQL", "JSON", "comment", "blank", "total"
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\API.md", "Markdown", 0, 355, 0, 0, 0, 0, 0, 0, 109, 464
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\DEPLOYMENT.md", "Markdown", 0, 361, 0, 0, 0, 0, 0, 0, 129, 490
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\Dockerfile", "Docker", 0, 0, 14, 0, 0, 0, 0, 7, 9, 30
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\PROJECT_SUMMARY.md", "Markdown", 0, 475, 0, 0, 0, 0, 0, 0, 107, 582
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\QUICK_START.md", "Markdown", 0, 242, 0, 0, 0, 0, 0, 0, 79, 321
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\README.md", "Markdown", 0, 479, 0, 0, 0, 0, 0, 0, 112, 591
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\STRUCTURE.md", "Markdown", 0, 54, 0, 0, 0, 0, 0, 0, 3, 57
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\TROUBLESHOOTING.md", "Markdown", 0, 458, 0, 0, 0, 0, 0, 0, 158, 616
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\config\etl_config.json", "JSON", 0, 0, 0, 0, 0, 0, 21, 0, 2, 23
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\database\init.sql", "MS SQL", 0, 0, 0, 0, 0, 86, 0, 8, 9, 103
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\database\sample_data.sql", "MS SQL", 0, 0, 0, 0, 0, 27, 0, 3, 4, 34
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\docker-compose.yml", "YAML", 75, 0, 0, 0, 0, 0, 0, 0, 6, 81
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\requirements.txt", "pip requirements", 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\run_etl.py", "Python", 0, 0, 0, 38, 0, 0, 0, 5, 10, 53
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\src\__init__.py", "Python", 0, 0, 0, 2, 0, 0, 0, 1, 2, 5
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\src\dashboard\__init__.py", "Python", 0, 0, 0, 1, 0, 0, 0, 1, 2, 4
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\src\dashboard\app.py", "Python", 0, 0, 0, 216, 0, 0, 0, 27, 53, 296
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\src\etl_pipeline.py", "Python", 0, 0, 0, 150, 0, 0, 0, 35, 46, 231
"c:\Users\GabrielBissacotFragu\OneDrive - Instituto Nacional de Telecomunicações\Documents\GitHub\TCC-IA-VSCODE\pipeline_ETL_com_dashboard3\Claude\src\extractors\__init__.py", "Python", 0, 0, 0, 10, 0, 0, 0, 1, 3, 14
