"filename", "language", "Markdown", "pip requirements", "Docker", "Python", "YAML", "SQLite", "comment", "blank", "total"
"c:\Users\mathe\OneDrive\Área de Trabalho\pipegpt\teste3\README.md", "Markdown", 15, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\mathe\OneDrive\Área de Trabalho\pipegpt\teste3\docker\Dockerfile", "Docker", 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\mathe\OneDrive\Área de Trabalho\pipegpt\teste3\docker\docker-compose.yml", "YAML", 0, 0, 0, 0, 23, 0, 0, 3, 26
"c:\Users\mathe\OneDrive\Área de Trabalho\pipegpt\teste3\requirements.txt", "pip requirements", 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\mathe\OneDrive\Área de Trabalho\pipegpt\teste3\sql\schema.sql", "SQLite", 0, 0, 0, 0, 0, 26, 1, 3, 30
"c:\Users\mathe\OneDrive\Área de Trabalho\pipegpt\teste3\src\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\mathe\OneDrive\Área de Trabalho\pipegpt\teste3\src\config.py", "Python", 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\mathe\OneDrive\Área de Trabalho\pipegpt\teste3\src\dashboard\app.py", "Python", 0, 0, 0, 56, 0, 0, 0, 15, 71
"c:\Users\mathe\OneDrive\Área de Trabalho\pipegpt\teste3\src\etl\run.py", "Python", 0, 0, 0, 26, 0, 0, 2, 9, 37
"c:\Users\mathe\OneDrive\Área de Trabalho\pipegpt\teste3\src\extract.py", "Python", 0, 0, 0, 25, 0, 0, 0, 7, 32
"c:\Users\mathe\OneDrive\Área de Trabalho\pipegpt\teste3\src\load.py", "Python", 0, 0, 0, 62, 0, 0, 0, 11, 73
"c:\Users\mathe\OneDrive\Área de Trabalho\pipegpt\teste3\src\logger.py", "Python", 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\mathe\OneDrive\Área de Trabalho\pipegpt\teste3\src\quality.py", "Python", 0, 0, 0, 15, 0, 0, 1, 4, 20
"c:\Users\mathe\OneDrive\Área de Trabalho\pipegpt\teste3\src\reports.py", "Python", 0, 0, 0, 17, 0, 0, 0, 5, 22
"c:\Users\mathe\OneDrive\Área de Trabalho\pipegpt\teste3\src\scheduler.py", "Python", 0, 0, 0, 13, 0, 0, 1, 5, 19
"c:\Users\mathe\OneDrive\Área de Trabalho\pipegpt\teste3\src\transform.py", "Python", 0, 0, 0, 43, 0, 0, 7, 14, 64
"c:\Users\mathe\OneDrive\Área de Trabalho\pipegpt\teste3\tests\test_transform.py", "Python", 0, 0, 0, 12, 0, 0, 0, 4, 16
"Total", "-", 15, 11, 7, 291, 23, 26, 13, 95, 481
